[20-Sep-2016 15:46:31 America/New_York] PHP Warning:  Cannot modify header information - headers already sent by (output started at E:\dev\ucdevsolutions\alternate_multi_header.php:47) in E:\dev\ucdevsolutions\ucdevlanding_incl\alternate_section1_video.php on line 4
[20-Sep-2016 15:48:51 America/New_York] PHP Warning:  Cannot modify header information - headers already sent by (output started at E:\dev\ucdevsolutions\alternate_multi_header.php:47) in E:\dev\ucdevsolutions\ucdevlanding_incl\alternate_section1_video.php on line 4
[20-Sep-2016 15:59:50 America/New_York] PHP Warning:  Cannot modify header information - headers already sent by (output started at E:\dev\ucdevsolutions\alternate_multi_header.php:47) in E:\dev\ucdevsolutions\ucdevlanding_incl\alternate_section1_video.php on line 4
[20-Sep-2016 16:18:36 America/New_York] PHP Warning:  Cannot modify header information - headers already sent by (output started at E:\dev\ucdevsolutions\alternate_multi_header.php:47) in E:\dev\ucdevsolutions\ucdevlanding_incl\alternate_section1_video.php on line 4
[20-Sep-2016 16:59:14 America/New_York] PHP Warning:  Cannot modify header information - headers already sent by (output started at E:\dev\ucdevsolutions\alternate_multi_header.php:47) in E:\dev\ucdevsolutions\ucdevlanding_incl\alternate_section1_video.php on line 4
[21-Sep-2016 08:05:12 America/New_York] PHP Warning:  Cannot modify header information - headers already sent by (output started at E:\dev\ucdevsolutions\alternate_multi_header.php:47) in E:\dev\ucdevsolutions\ucdevlanding_incl\alternate_section1_video.php on line 4
[21-Sep-2016 08:18:37 America/New_York] PHP Warning:  Cannot modify header information - headers already sent by (output started at E:\dev\ucdevsolutions\alternate_multi_header.php:47) in E:\dev\ucdevsolutions\ucdevlanding_incl\alternate_section1_video.php on line 4
[21-Sep-2016 08:20:28 America/New_York] PHP Warning:  Cannot modify header information - headers already sent by (output started at E:\dev\ucdevsolutions\alternate_multi_header.php:47) in E:\dev\ucdevsolutions\ucdevlanding_incl\alternate_section1_video.php on line 4
[21-Sep-2016 08:42:56 America/New_York] PHP Warning:  Cannot modify header information - headers already sent by (output started at E:\dev\ucdevsolutions\alternate_multi_header.php:47) in E:\dev\ucdevsolutions\ucdevlanding_incl\alternate_section1_video.php on line 4
[21-Sep-2016 08:49:27 America/New_York] PHP Warning:  Cannot modify header information - headers already sent by (output started at E:\dev\ucdevsolutions\alternate_multi_header.php:47) in E:\dev\ucdevsolutions\ucdevlanding_incl\alternate_section1_video.php on line 4
